排名,icon,选手,比赛场次,胜场,胜率,场均KDA,场均击杀数,场均死亡数,场均助攻数,场均经济,分均经济,经济占比,场均伤害,分均伤害,伤害占比,伤害转化率,场均承伤,分均承伤,承伤占比,场均推塔数,推塔占比,参团率,场均比赛时长
49,https://smobatv-pic.tga.qq.com/fd5ccf7df062feca229a9d5f47fccd2d.png,Ming,43,22,51.1%,4.8(1.7 / 1.6 / 5.3),1.7,1.6,5.3,9493.8,580.2,18.6%,93480.5,5428.7,31.3%,167.7%,45783.7,2353.3,13.1%,0.3,5.6%,73.6%,00:16:60
50,https://smobatv-pic.tga.qq.com/0bc827584405baaceb878f98453ff248.png,玄影,43,22,51.1%,3.6(2.2 / 2.1 / 3.6),2.2,2.1,3.6,12667.9,774.5,24.8%,47321.7,2701.6,15.4%,63%,82429.8,3281.3,18.4%,1.4,24.8%,57.5%,00:16:60
51,https://smobatv-pic.tga.qq.com/28b0c1c86bba11d3777e41deef12d105.png,啊泽,69,35,50.7%,3.8(1.4 / 2 / 4.5),1.4,2,4.5,9095.5,539.2,17.5%,42890,2419.1,13.7%,77.2%,103015.2,5071.2,28.1%,0.6,11.8%,63.6%,00:17:25
52,https://smobatv-pic.tga.qq.com/a53645eda564019b8c18572522170a01.png,小A,69,35,50.7%,5.6(0.6 / 1.4 / 6.8),0.6,1.4,6.8,7478.1,444,14.5%,33618.3,1917,10.6%,73.4%,81892.6,4158.3,22.8%,0.1,1.8%,82.5%,00:17:25
53,https://smobatv-pic.tga.qq.com/e97d18a7b189150074b0bf345e748842.png,小玖,69,35,50.7%,4.4(3 / 1.6 / 3.5),3,1.6,3.5,13365.4,791.4,25.8%,86252.4,4783.1,27.7%,107.2%,58585.3,2597.5,14.3%,2.6,43%,69.2%,00:17:25
54,https://smobatv-pic.tga.qq.com/beb7d3d855278db7fc92dbd7952432a8.png,一曲,69,35,50.7%,5.1(1.3 / 1.2 / 4.9),1.3,1.2,4.9,8923.2,532,17.4%,91323.6,5106.6,29.3%,168.5%,43375.6,2171.8,11.9%,0.1,1.3%,68.7%,00:17:25
55,https://smobatv-pic.tga.qq.com/2ee59d91feade6c3b6e42e74d289ec44.png,久酷,91,46,50.5%,5.5(0.7 / 1.2 / 6.2),0.7,1.2,6.2,6839.9,435.7,14.2%,26003.7,1587.3,9%,63.3%,74120.4,3956.4,21.8%,0.1,1.8%,79.9%,00:16:03
56,https://smobatv-pic.tga.qq.com/12d0811490492112e295bd0409324003.png,江城,4,2,50%,5.5(1.7 / 1.7 / 4.7),1.7,1.7,4.7,11990.5,717,23.7%,63027,3721.8,23.7%,97.6%,53795,2666.8,14.9%,3.2,54.2%,66.2%,00:17:03
57,https://smobatv-pic.tga.qq.com/831ad155e862a0da8c048c80ae873aaf.png,小崽,4,2,50%,6.3(0 / 0.7 / 6.5),0,0.7,6.5,7121.7,457.7,15.5%,21181.7,1319,7.8%,50.2%,56979.5,3123.2,16.7%,0.2,3.1%,93.7%,00:15:59
58,https://smobatv-pic.tga.qq.com/3c367d6e5ca7a2b79a685f05a1eb8589.png,An,8,4,50%,3.6(1.2 / 2.5 / 5),1.2,2.5,5,7786,460.2,15.1%,41054.7,2335.7,14%,93.2%,139448.7,6842.4,36.3%,0.6,13.9%,67.1%,00:17:38
